tarName,p_ID
hnRNPA2B1,p000
WDR33,p001
ADAR,p002
SFRS1,p003
FUS,p004
DHX36,p005
HNRNPA1,p006
RBM10,p007
PSF,p008
MOV10,p009
SAFB2,p010
KHDR1,p011
HNRNPU,p012
RBM15,p013
UPF1,p014
NOLC1,p015
CPSF1,p016
hnRNPL,p017
AGGF1,p018
DBHS,p019
FUBP2,p020
IGF2BP3,p021
Ago2,p022
HNRNPH1,p023
PPIL4,p024
XRCC6,p025
ILF3,p026
UCHL5,p027
TAF15,p028
HLTF,p029
HNRNPUL1,p030
ZNF622,p031
TIA1,p032
SERBP1,p033
ZMAT3,p034
SOX2,p035
IGF2BP1,p036
RBMX,p037
SP1,p038
RC3H1,p039
AGO2,p040
TARBP2,p041
FBL,p042
Dazl,p043
DDX6,p044
USF2,p045
PARN,p046
AGO1,p047
YTHDF2,p048
eIF4E,p049
A1CF,p050
YBX1,p051
WDR4,p052
TRIM25,p053
YTHDC2,p054
LIN28A,p055
GRWD1,p056
DDX24,p057
BUD13,p058
PAPD1,p059
RBFOX2,p060
PRPF8,p061
RELA,p062
FUBP3,p063
YBOX3,p064
hnRNPC,p065
TARDBP,p066
SUGP2,p067
LIN28B,p068
HDAC9,p069
SMARCA4,p070
RBM6,p071
AKAP8L,p072
CPSF6,p073
CSTF2T,p074
CSTF2,p075
TDP-43,p076
CPSF7,p077
CPSF5,p078
RTCB,p079
Coilin,p080
hnRNPM,p081
HNRNPF,p082
PTBP1,p083
HNRPG,p084
EWSR1,p085
YTHDF1,p086
RRP44,p087
YTDC1,p088
FTO,p089
SPPL3,p090
MBNL2,p091
U2AF2,p092
RNMT,p093
MBNL1,p094
SFRS2,p095
DDX3X,p096
DDX54,p097
SSB,p098
QKI,p099
IF2B1,p100
IF2B2,p101
GRSF1,p102
FXR2,p103
Ro60,p104
TBRG4,p105
DDX59,p106
NCBP2,p107
YWHAG,p108
LARP4,p109
EIF3D,p110
DGCR8,p111
SBDS,p112
PUS1,p113
DHX30,p114
DDX55,p115
RNC,p116
LSM11,p117
PRP17,p118
XPO5,p119
GEMI5,p120
HNRPK,p121
T2FA,p122
SND1,p123
FAKD2,p124
FXR1,p125
ZC11A,p126
GPKOW,p127
U5S1,p128
PUM2,p129
MATR3,p130
EXOS5,p131
RBM5,p132
SFRS7,p133
RBM22,p134
NKRF,p135
METAP2,p136
SUV3,p137
EIF3H,p138
U2AF1,p139
RPS3,p140
RPS11,p141
SYAC,p142
SLTM,p143
SAP49,p144
FKBP4,p145
NPM1,p146
TCP4,p147
DDX42,p148
SMNDC1,p149
RPB7,p150
GNL3,p151
XRN2,p152
FAM120A,p153
SAP155,p154
SRSF9,p155
NOL12,p156
SAKI,p157
BCCIP,p158
TRA2A,p159
DKC1,p160
EIF4G2,p161
hLARP7,p162
ZRAB2,p163
PPIG,p164
PCBP2,p165
FMR1,p166
SAP61,p167
ILF2,p168
PUS10,p169
ELAVL1,p170
HNRNPC,p171
ZC3HAV1,p172
SF3B1,p173
EXOSC10,p174
Elav1,p175
FUBP1,p176
Trim71,p177
AIMP1,p178
RARS2,p179
ALYREF,p180
hnRNPD,p181
Igf2bp3,p182
PCBP1,p183
MSI1H,p184
DCP1B,p185
Rbfox2,p186
MTA1,p187
KHDRBS2,p188
Pum2,p189
Nova,p190
CRNKL1,p191
CNOT7,p192
CELF6,p193
ICP27,p194
Rnps1,p195
TIAL1,p196
ACIN1,p197
TOB1,p198
ALKBH1,p199
DDX43,p200
HNRH1,p201
CLK3,p202
LAR4B,p203
hnRNPA1,p204
hnRNP H,p205
IFIT2,p206
m6A,p207
CSDE1,p208
DR1,p209
Ythdf1,p210
DDX18,p211
HNRNPM,p212
KHSRP,p213
ELAVL2,p214
ELAV3,p215
CELF4,p216
SNRPA,p217
SCAF8,p218
SRSF1,p219
CELF1,p220
RBM39,p221
EIF2C1,p222
AGO3,p223
AGO4,p224
RPL5,p225
FMRP,p226
ALKBH5,p227
MEX3C,p228
HDLBP,p229
ORF57,p230
ETS2,p231
Mettl3,p232
Srsf11,p233
SMN1,p234
YTHDC1,p235
hTrmt13,p236
BOLL,p237
ZC3H7B,p238
ZFP36,p239
BRCA1,p240
Srsf1,p241
Spen,p242
SCAF4,p243
hnRNPF,p244
eIF4AIII,p245
Rbfox1,p246
METTL14,p247
G3BP1,p248
CHMP3,p249
HNRNPD,p250
Sfpq,p251
Caprin1,p252
RBPMS,p253
TOB2,p254
SMAD4,p255
ZCCHC4,p256
METTL1,p257
C17ORF85,p258
UBA2,p259
PUM1,p260
NANOS3,p261
Smchd1,p262
SMAD3,p263
GEMIN5,p264
Ataxin-2,p265
TNRC6A,p266
EZH2,p267
EIF3B,p268
CBX7,p269
SLBP,p270
DDX5,p271
EXOSC4,p272
EIF3G,p273
IDH1,p274
NAT10,p275
TET2,p276
SRSF2,p277
TRMT2A,p278
IGF2BP2,p279
CPSF4,p280
AID,p281
CDK4,p282
PTBP3,p283
PRPF39,p284
MTDH,p285
DMD,p286
ITPA,p287
CPSF3,p288
EXOSC3,p289
SUZ12,p290
QK-6,p291
Srrm4,p292
LIN28,p293
CPSF2,p294
METTL3,p295
TPGS2,p296
BARD1,p297
DCTN6,p298
RNF113A,p299
TruB1,p300
NLRP3,p301
EPB41L5,p302
CCIN,p303
p300,p304
IDE,p305
YFP,p306
RBM47,p307
DAZL,p308
AQR,p309
EFTUD2,p310
PRPF4,p311
SF3B4,p312
YBX3,p313
AKAP1,p314
DDX52,p315
FASTKD2,p316
HNRNPL,p317
PHF6,p318
SAFB,p319
SUPV3L1,p320
TROVE2,p321
BCLAF1,p322
GTF2F1,p323
NONO,p324
DROSHA,p325
HNRNPK,p326
EXOSC5,p327
SFPQ,p328
STAU2,p329
ZC3H11A,p330
PABPN1,p331
CDC40,p332
SF3A3,p333
NSUN2,p334
KHDRBS1,p335
SRSF7,p336
AATF,p337
WRN,p338
ZRANB2,p339
LARP7,p340
APOBEC3C,p341
DDX21,p342
DDX51,p343
NIP7,p344
NIPBL,p345
PABPC4,p346
SDAD1,p347
SUB1,p348
UTP18,p349
WDR43,p350
ZC3H8,p351
ZNF800,p352
AARS,p353
MTPAP,p354
CPEB4,p355
ABCF1,p356
POLR2G,p357
UTP3,p358
WDR3,p359
